gene,base_mean,log2fc,pvalue
G2829,45.59,0.293,0.521
G2830,1.69,-0.465,0.749
G2831,98.95,-0.157,0.68
G2832,33.08,0.54,0.278
G2833,23.11,0.003,0.996
G2834,1.87,-1.041,0.454
G2835,30.79,0.502,0.323
G2836,46.76,0.168,0.711
G2837,7.96,0.872,0.268
G2838,187.04,-0.546,0.105
G2839,1572.72,0.158,0.544
G2840,0.18,1.798,0.469
G2841,147.16,0.415,0.238
G2842,288.06,0.468,0.136
G2843,26.89,-0.693,0.19
G2844,16.08,-0.821,0.185
G2845,6037.29,-0.31,0.198
G2846,6.26,1.019,0.236
G2847,18.87,0.357,0.544
G2848,49.48,-0.86,0.0546
G2849,86.52,-0.349,0.373
G2850,130.52,0.342,0.342
G2851,25.46,-0.228,0.671
G2852,134.31,0.226,0.528
G2853,1681.65,0.277,0.285
G2854,574.23,1.42,7.36e-07
G2855,26.16,0.149,0.78
G2856,6,1.163,0.183
G2857,90.92,-0.222,0.567
G2858,61.04,-0.116,0.785
G2859,9.54,3.171,1.73e-05
G2860,92.86,-0.432,0.263
G2861,3.25,-0.154,0.889
G2862,122.72,-0.22,0.546
G2863,40.61,0.052,0.912
G2864,44.13,-0.187,0.685
G2865,11.14,-0.99,0.157
G2866,547.33,0.206,0.475
G2867,2.08,-0.836,0.529
G2868,21.39,0.091,0.872
G2869,25.39,-0.426,0.428
G2870,96.63,0.223,0.56
G2871,13.79,0.334,0.608
G2872,532.47,-0.218,0.451
G2873,31.02,0.005,0.992
G2874,3297.24,1.316,1.1e-07
G2875,117.32,-0.557,0.13
G2876,8.39,0.873,0.258
G2877,90.13,-0.061,0.875
G2878,10.33,-0.425,0.554
G2879,354.66,1.501,8.57e-07
G2880,547.26,-0.714,0.0133
G2881,404.21,-0.523,0.0809
G2882,50.64,0.315,0.479
G2883,2945.5,-0.226,0.365
G2884,37.34,0.706,0.143
G2885,6.85,-2.528,0.00236
G2886,43.24,-0.089,0.848
G2887,13.08,0.333,0.615
G2888,5534.9,0.178,0.461
G2889,2334.61,0.371,0.143
G2890,59.93,0.788,0.0648
G2891,57.4,-0.14,0.745
G2892,324.02,0.091,0.768
G2893,23.06,0.368,0.506
G2894,13.39,0.953,0.147
G2895,7.32,-0.488,0.548
G2896,114.54,-0.099,0.789
G2897,331.12,-0.366,0.235
G2898,8978.33,-0.237,0.317
G2899,1684.46,0.034,0.896
G2900,23.89,-0.256,0.64
G2901,25.26,0.467,0.386
G2902,103.38,0.23,0.542
G2903,212.09,-0.866,0.00866
G2904,2227.19,0.442,0.0817
G2905,3.33,0.039,0.972
G2906,59.86,0.113,0.791
G2907,189.85,0.229,0.496
G2908,612.2,-0.174,0.541
G2909,151.21,-0.58,0.0976
G2910,75.64,-1.002,0.0131
G2911,57.86,0.011,0.98
G2912,4.45,0.514,0.599
G2913,70.74,0.177,0.666
G2914,118.73,0.281,0.444
G2915,823.92,-0.021,0.939
G2916,2202.98,0.072,0.777
G2917,362.88,-0.657,0.0307
G2918,58.85,0.115,0.788
G2919,456.97,0.358,0.225
G2920,68.22,-0.165,0.69
G2921,7.06,0.262,0.75
G2922,1058.55,0.101,0.707
G2923,4.77,-0.944,0.322
G2924,363.53,-0.222,0.465
G2925,359.02,0.036,0.906
G2926,11.25,0.615,0.378
G2927,9.95,-0.798,0.273
G2928,34.65,-0.982,0.0459
G2929,53.93,0.191,0.663
G2930,9.17,0.059,0.937
G2931,262.21,-0.207,0.516
G2932,472.38,-0.213,0.468
G2933,50.01,-0.481,0.281
G2934,68.11,0.729,0.0782
G2935,1152.97,-0.683,0.0106
G2936,147.99,0.18,0.609
G2937,169.59,-0.515,0.133
G2938,43.58,-1.01,0.0289
G2939,145.76,-0.17,0.63
G2940,288.41,-0.14,0.656
G2941,408.28,0.275,0.358
G2942,17.49,0.282,0.64
G2943,12.27,-0.184,0.786
G2944,3.81,-0.12,0.908
G2945,10.22,-0.224,0.756
G2946,212.91,-0.509,0.123
G2947,395.51,-0.345,0.251
G2948,163.11,-0.472,0.172
G2949,24.72,2.337,1.61e-05
G2950,0.84,-1.023,0.603
G2951,70.13,-0.142,0.73
G2952,2.62,1.28,0.29
G2953,163.54,0.297,0.389
G2954,52.32,-0.543,0.218
G2955,63.55,0.368,0.382
G2956,7.59,-1.126,0.16
G2957,173.89,-0.262,0.443
G2958,409.67,-0.124,0.678
G2959,77.2,0.913,0.0232
G2960,2.29,1.198,0.348
G2961,32.55,0.153,0.76
G2962,2.2,-0.425,0.743
G2963,5.7,0.368,0.679
G2964,6331.58,0.023,0.924
G2965,321.01,0.172,0.578
G2966,9.08,0.503,0.503
G2967,45.95,-0.179,0.695
G2968,728.69,-0.06,0.83
G2969,11.49,0.513,0.459
G2970,42.54,0.053,0.909
G2971,424.34,0.454,0.127
G2972,19.2,0.029,0.96
G2973,81.15,0.235,0.555
G2974,6.53,0.64,0.449
G2975,42.07,-0.308,0.509
G2976,450.66,0.012,0.968
G2977,149.06,-0.098,0.78
G2978,399.1,-0.329,0.273
G2979,50.05,-0.305,0.494
G2980,40.66,-0.421,0.371
G2981,3.47,0.035,0.974
G2982,170.6,0.381,0.266
G2983,176.56,0.039,0.909
G2984,112.09,-0.17,0.647
G2985,42.95,0.105,0.821
G2986,579.13,0.27,0.346
G2987,58.55,-0.494,0.25
G2988,295.7,0.093,0.766
G2989,77.11,-0.061,0.879
G2990,36.5,0.586,0.227
G2991,182.79,-0.312,0.356
G2992,92.1,0.515,0.183
G2993,239.74,-0.616,0.0568
G2994,336.7,-0.281,0.36
G2995,18.3,-0.689,0.246
G2996,2.92,-0.02,0.986
G2997,2.24,-1.857,0.15
G2998,33.11,-0.322,0.518
G2999,2.63,1.159,0.337
G3000,108.03,-0.224,0.549
G3001,39.31,-0.359,0.45
G3002,65.99,0.768,0.0655
G3003,95.31,-0.109,0.776
G3004,25.75,0.874,0.103
G3005,0.33,3.419,0.168
G3006,17.41,0.5,0.407
G3007,32.19,0.524,0.297
G3008,30.02,-1.068,0.037
G3009,21.81,-0.022,0.969
G3010,2511.72,-0.123,0.625
G3011,94.01,-0.014,0.971
G3012,1410.45,-0.232,0.377
G3013,51.92,-0.032,0.942
G3014,280.06,-0.755,0.0167
G3015,9.4,0.606,0.414
G3016,50.6,-0.355,0.425
G3017,9.57,-0.152,0.837
G3018,46.86,0.384,0.397
G3019,67.05,0.326,0.433
G3020,35.89,-0.751,0.123
G3021,145.15,3.08,1e-12
G3022,2304.15,0.502,0.0475
G3023,102.89,-0.371,0.326
G3024,73.64,-0.399,0.326
G3025,7.02,-0.034,0.967
G3026,29.54,0.625,0.224
G3027,64.52,-0.169,0.687
G3028,301.52,-0.241,0.44
G3029,0.64,-0.103,0.963
G3030,12.19,0.085,0.9
G3031,199.77,-0.263,0.43
G3032,245.66,0.276,0.391
G3033,1585.4,-0.064,0.806
G3034,55.7,0.442,0.309
G3035,42.05,0.229,0.624
G3036,11.89,-0.17,0.804
G3037,48.08,-0.791,0.0793
G3038,1.77,0.951,0.504
G3039,3.73,-2.98,0.00448
G3040,282.78,0.295,0.349
G3041,179.96,-3.23,1e-12
G3042,9.17,-0.118,0.875
G3043,100.92,-0.744,0.0498
G3044,6.29,-0.284,0.741
G3045,18.8,-1.235,0.036
G3046,1555.53,0.147,0.573
G3047,15.57,1.127,0.0716
G3048,20.38,-0.192,0.738
G3049,6.63,-0.749,0.373
G3050,6.64,-0.472,0.575
G3051,18.66,-0.115,0.846
G3052,303.68,-0.53,0.0892
G3053,9.68,-0.133,0.856
G3054,6.31,1.214,0.157
G3055,24.3,-0.971,0.0746
G3056,11.61,-0.348,0.614
G3057,399.43,0.071,0.813
G3058,9.14,0.645,0.389
G3059,8.26,-0.757,0.33
G3060,274.43,0.096,0.762
G3061,46.65,0.423,0.352
G3062,8.59,0.661,0.388
G3063,217.5,0.576,0.0795
G3064,3.7,-0.708,0.501
G3065,7.48,-0.111,0.89
G3066,270.35,0.054,0.865
G3067,15.08,-0.091,0.886
G3068,426.76,0.376,0.206
G3069,150.4,0.245,0.485
G3070,73.13,-0.234,0.565
G3071,154.15,-0.303,0.385
G3072,65.71,-0.249,0.551
G3073,60.37,-0.634,0.137
G3074,106.98,0.37,0.323
G3075,27.4,-0.39,0.458
G3076,98.54,0.382,0.316
G3077,83.81,0.383,0.332
G3078,5.97,-0.253,0.772
G3079,92.71,0.459,0.235
G3080,48.3,-0.14,0.756
G3081,5.72,-1.657,0.0623
G3082,100.6,-0.396,0.297
G3083,78.95,-0.184,0.646
G3084,18.19,-0.372,0.532
G3085,845.34,0.442,0.108
G3086,9.58,0.619,0.401
G3087,239.28,-0.052,0.872
G3088,138.22,0.089,0.803
G3089,477.2,0.021,0.943
G3090,1535.88,-0.201,0.441
G3091,979.98,0.039,0.886
G3092,155.67,-0.144,0.679
G3093,41.41,-0.216,0.645
G3094,181.77,1.128,0.000867
G3095,310.12,0.605,0.0516
G3096,101.48,0.493,0.193
G3097,142.93,-0.168,0.635
G3098,58.84,0.558,0.193
G3099,239.24,0.058,0.858
G3100,7336.71,0.434,0.069
G3101,101.76,0.511,0.177
G3102,63.65,0.592,0.159
G3103,95.67,0.168,0.661
G3104,91.59,0.086,0.824
G3105,608.69,-0.372,0.192
G3106,10.94,-0.355,0.614
G3107,177.14,-0.623,0.0671
G3108,98.1,-0.774,0.0425
G3109,1593.5,0.391,0.133
G3110,155.9,-0.473,0.174
G3111,412.52,-0.074,0.804
G3112,97.18,-0.083,0.828
G3113,10.78,-0.429,0.544
G3114,260.93,-0.138,0.665
G3115,30.41,0.151,0.767
G3116,13.83,-2.414,0.000205
G3117,35.37,0.68,0.164
G3118,28.9,-0.024,0.963
G3119,9.83,-0.371,0.611
G3120,331.46,-0.108,0.726
G3121,39.6,-0.585,0.217
G3122,105.99,-0.826,0.0278
G3123,27.04,1.133,0.0318
G3124,189.33,-0.21,0.532
G3125,78.18,0.27,0.501
G3126,1587.52,0.214,0.411
G3127,141.02,-0.455,0.2
G3128,691.6,-0.138,0.623
G3129,14.9,0.427,0.501
G3130,777.92,0.112,0.686
G3131,186.5,0.125,0.711
G3132,70.03,0.258,0.53
G3133,47.89,-1.138,0.0117
G3134,2.26,0.707,0.582
G3135,2.61,0.441,0.716
G3136,49.58,0.61,0.173
G3137,35.37,0.931,0.0569
G3138,19.7,-0.464,0.424
G3139,37.82,0.737,0.125
G3140,201.03,0.341,0.306
G3141,180.53,-0.046,0.892
G3142,78.59,0.476,0.235
G3143,114.2,0.369,0.318
G3144,136.77,-0.276,0.439
G3145,102.67,-0.336,0.374
G3146,28.69,0.219,0.673
G3147,88.93,-0.483,0.215
G3148,8.81,-0.378,0.618
G3149,14.9,-0.32,0.614
G3150,9.18,0.076,0.919
G3151,493.8,-0.138,0.636
G3152,807.1,-0.176,0.524
G3153,100.98,-0.031,0.935
G3154,4.34,0.75,0.448
G3155,1.66,0.544,0.71
G3156,13.31,-0.072,0.913
G3157,32.27,-0.518,0.302
G3158,601.15,-0.189,0.508
G3159,93.55,-0.167,0.665
G3160,92.22,0.27,0.485
G3161,154.05,0.112,0.748
G3162,127.31,-0.183,0.613
G3163,31.83,-0.178,0.724
G3164,36.95,-0.291,0.547
G3165,58.72,-0.655,0.127
G3166,33.76,0.463,0.35
G3167,340.78,0.249,0.417
G3168,104.38,0.187,0.62
G3169,8.19,-0.174,0.823
G3170,25.1,0.073,0.892
G3171,4.29,0.65,0.513
G3172,71.6,0.036,0.93
G3173,15.83,0.019,0.976
G3174,33.12,-0.057,0.909
G3175,640.43,0.338,0.233
G3176,175.75,0.136,0.69
G3177,591.76,0.184,0.52
G3178,50.62,0.539,0.226
G3179,50.58,0.111,0.803
G3180,61.68,0.05,0.906
G3181,1.3,-0.662,0.683
G3182,108.11,-0.384,0.304
G3183,1329.5,0.269,0.308
G3184,167.21,-0.36,0.295
G3185,168.15,0.111,0.747
G3186,1809.32,-0.285,0.269
G3187,39.39,0.346,0.466
G3188,62.71,-0.505,0.231
G3189,5.24,0.449,0.625
G3190,49.61,-0.171,0.702
G3191,2.16,1.561,0.233
G3192,41.39,0.788,0.0927
G3193,226.54,0.038,0.907
G3194,20.35,-0.186,0.746
G3195,40.54,0.502,0.287
G3196,16.25,0.491,0.426
G3197,36.65,-0.419,0.387
G3198,13.37,0.527,0.423
G3199,20.12,0.052,0.928
G3200,123.15,-0.162,0.656
G3201,203.39,-0.642,0.0533
G3202,165.79,-0.522,0.129
G3203,26.61,0.135,0.799
G3204,804.46,-0.024,0.931
G3205,228.76,-0.426,0.191
G3206,990.55,-0.1,0.712
G3207,162.71,0.221,0.522
G3208,20.09,-0.562,0.33
G3209,1373.83,-0.223,0.397
G3210,41.45,1.387,0.00307
G3211,94.3,0.519,0.177
G3212,164.74,-0.201,0.56
G3213,430.18,-0.187,0.529
G3214,12.09,-0.823,0.226
G3215,10.35,1.213,0.0908
G3216,28.59,-0.014,0.978
G3217,7.29,0.885,0.276
G3218,47.56,-0.635,0.16
G3219,133.51,-0.355,0.322
G3220,44.6,-0.331,0.471
G3221,12.93,-0.511,0.442
G3222,255.76,-0.668,0.0369
G3223,12.12,0.692,0.309
G3224,127.2,-0.089,0.806
G3225,537.45,0.119,0.681
G3226,113.24,-0.121,0.744
G3227,35.65,-0.702,0.15
G3228,16.29,0.541,0.38
G3229,240.99,0.021,0.948
G3230,442.49,0.577,0.0513
G3231,12.38,-0.042,0.95
G3232,12.07,-0.568,0.404
G3233,9.81,-0.522,0.475
G3234,5.17,-1.525,0.0987
G3235,241.4,0.192,0.552
G3236,63.42,-0.784,0.0625
G3237,493.6,-0.469,0.108
G3238,105.6,-0.322,0.391
G3239,739.46,-0.108,0.699
G3240,1.87,1.2,0.388
G3241,13.16,-0.322,0.626
G3242,135.65,-2.256,2.74e-10
G3243,8.94,1.144,0.13
G3244,22.64,1.574,0.00466
G3245,14.34,-0.079,0.902
G3246,24.92,-0.383,0.479
G3247,1376.34,0.275,0.296
G3248,27.8,0.11,0.834
G3249,68.97,0.001,0.998
G3250,604.02,-0.36,0.207
G3251,19.43,0.491,0.4
G3252,98.53,-0.578,0.129
G3253,39.34,-0.23,0.628
G3254,0.92,2.354,0.212
G3255,16.47,0.119,0.846
G3256,857.07,0.304,0.268
G3257,31.39,-0.01,0.984
G3258,15.27,0.473,0.452
G3259,62.43,3.045,1e-12
G3260,44.73,0.184,0.689
G3261,3.18,-0.466,0.677
G3262,20.09,1.142,0.0478
G3263,233.89,2.435,1e-12
G3264,196.81,0.195,0.559
G3265,14.29,-0.145,0.822
G3266,32.79,-0.54,0.28
G3267,368.87,0.571,0.0598
G3268,1109.57,-0.209,0.436
G3269,1.17,-0.817,0.631
G3270,315.21,-0.243,0.433
G3271,93.11,-0.86,0.0258
G3272,1820.67,-0.231,0.37
G3273,422.82,0.663,0.026
G3274,30.76,0.202,0.691
G3275,230,0.414,0.203
G3276,26.16,-0.438,0.411
G3277,45.56,0.078,0.864
G3278,114.07,1.366,0.000221
G3279,25.59,0.147,0.784
G3280,48.77,1.986,9.78e-06
G3281,70.7,0.281,0.493
G3282,228.13,0.15,0.645
G3283,187.1,0.075,0.824
G3284,648.09,-0.334,0.238
G3285,797.8,-0.101,0.715
G3286,140.73,-0.13,0.714
G3287,107.43,0.268,0.474
G3288,87.48,-0.418,0.285
G3289,115.69,0.012,0.974
G3290,37.63,0.659,0.171
G3291,548.06,-0.452,0.117
G3292,114,0.113,0.76
G3293,122.79,-0.195,0.593
G3294,54.95,-0.44,0.313
G3295,107.51,0.26,0.487
G3296,59.33,0.41,0.338
G3297,10.01,-0.783,0.281
G3298,187.31,-0.425,0.207
G3299,75.87,0.179,0.657
G3300,383.76,0.511,0.0903
G3301,61.2,0.363,0.393
G3302,44.42,0.422,0.359
G3303,26.79,0.238,0.653
G3304,2.25,-0.785,0.542
G3305,100.72,-0.931,0.0141
G3306,15.43,0.495,0.43
G3307,77.08,-0.354,0.379
G3308,28.12,-0.242,0.643
G3309,190.51,0.49,0.145
G3310,34.43,-0.244,0.62
G3311,7.86,0.821,0.299
G3312,103.67,-0.105,0.781
G3313,38.08,-0.457,0.34
G3314,22.94,-0.253,0.648
G3315,72.17,-0.014,0.973
G3316,65.03,-0.115,0.783
G3317,112.21,-0.654,0.078
G3318,31.51,0.349,0.49
G3319,91.17,-0.284,0.464
G3320,45.61,-0.467,0.307
G3321,131.03,0.117,0.745
G3322,1972.65,-0.316,0.217
G3323,177.59,-0.598,0.0787
G3324,2320.64,0.08,0.752
G3325,792.89,0.054,0.845
G3326,141.08,-0.734,0.0385
G3327,1.82,-0.481,0.732
G3328,711.35,0.056,0.841
G3329,146.02,0.362,0.304
G3330,8.79,-0.049,0.949
G3331,66.32,-0.191,0.647
G3332,149.61,0.151,0.667
G3333,95.35,-0.444,0.247
G3334,34.99,0.041,0.933
G3335,7.45,0.078,0.923
G3336,5731.57,-0.102,0.672
G3337,16.05,-0.206,0.739
G3338,18.41,1.312,0.0269
G3339,6.14,1.403,0.105
G3340,437.42,-0.261,0.379
G3341,111.6,0.124,0.739
G3342,363.98,-0.5,0.0999
G3343,7.51,1.692,0.0353
G3344,23.86,-0.331,0.546
G3345,103.14,-0.2,0.596
G3346,120.12,-0.735,0.0446
G3347,4.89,-0.207,0.826
G3348,119.57,-0.634,0.0835
G3349,227.53,-0.172,0.598
G3350,59.3,-0.439,0.305
G3351,86.99,-0.013,0.974
G3352,77.3,-0.095,0.813
G3353,120.76,-0.117,0.749
G3354,94.37,0.443,0.25
G3355,535.59,0.553,0.0558
G3356,179.43,0.337,0.321
G3357,771.12,0.272,0.327
G3358,132.53,0.155,0.666
G3359,338,0.056,0.855
G3360,3.54,0.7,0.513
G3361,220.54,0.041,0.9
G3362,12.83,-0.075,0.91
G3363,32.69,0.167,0.738
G3364,3.1,0.095,0.933
G3365,217.35,0.007,0.983
G3366,111.49,-0.284,0.445
G3367,29.22,-0.274,0.595
G3368,31.6,0.546,0.279
G3369,84.63,0.45,0.253
G3370,17.05,0.852,0.161
G3371,27.6,-0.652,0.214
G3372,77.2,0.232,0.564
G3373,57.24,-0.471,0.275
G3374,80.11,-0.232,0.561
G3375,223.29,-0.021,0.949
G3376,31.56,0.353,0.484
G3377,1.23,-3.179,0.0559
G3378,132.34,-0.415,0.248
G3379,54.03,0.613,0.161
G3380,10.51,-0.867,0.224
G3381,12.88,-0.039,0.953
G3382,25.67,0.258,0.63
G3383,86.12,-0.576,0.142
G3384,5.84,-0.3,0.734
G3385,22.59,-0.255,0.647
G3386,309.37,0.132,0.671
G3387,899.72,-0.052,0.849
G3388,22.46,0.669,0.23
G3389,230.14,-0.405,0.213
G3390,735.26,-0.018,0.949
G3391,9.77,0.577,0.43
G3392,120.16,0.333,0.363
G3393,11.58,-0.275,0.69
G3394,26.31,-0.411,0.44
G3395,161.6,-1.156,0.000831
G3396,62.25,0.322,0.446
G3397,1260.09,-0.132,0.619
G3398,6.27,-0.304,0.723
G3399,198.1,-1.612,1.36e-06
G3400,517.4,-0.182,0.531
G3401,50.93,-0.317,0.475
G3402,4.39,-0.124,0.9
G3403,21.86,0.3,0.594
G3404,185.82,0.072,0.831
G3405,8.51,-0.802,0.297
G3406,27.37,0.146,0.781
G3407,46.89,-0.603,0.184
G3408,26.51,0.487,0.359
G3409,25.69,0.306,0.568
G3410,205.08,0.006,0.986
G3411,137.39,-0.013,0.971
G3412,512.24,0.235,0.419
G3413,56.77,-0.304,0.482
G3414,10.25,-0.235,0.744
G3415,28.7,2.134,3.88e-05
G3416,364.19,0.079,0.795
G3417,16.55,0.182,0.767
G3418,387.44,0.228,0.449
G3419,63.46,-0.13,0.757
G3420,108.05,0.137,0.714
G3421,12.63,-0.479,0.475
G3422,90.56,0.079,0.839
G3423,30.5,-0.589,0.248
G3424,159.98,0.234,0.499
G3425,679.91,-0.288,0.306
G3426,71.59,0.164,0.689
G3427,73.44,-0.559,0.169
G3428,13.38,-0.499,0.448
G3429,13.11,-1.224,0.0644
G3430,200.99,0.399,0.231
G3431,583.72,-0.136,0.635
G3432,250.58,-1.303,4.94e-05
G3433,16.16,0.514,0.406
G3434,5.27,-0.383,0.676
G3435,54.14,0.364,0.405
G3436,23.8,-0.385,0.482
G3437,367.1,0.349,0.25
G3438,422.39,0.079,0.791
G3439,11.19,-0.551,0.43
G3440,140.25,0.278,0.434
G3441,162.08,0.575,0.0962
G3442,2.42,-0.266,0.831
G3443,222.86,-0.217,0.507
G3444,90.21,0.081,0.835
G3445,148.48,0.603,0.0861
G3446,90.45,-0.552,0.155
G3447,55.06,-0.492,0.259
G3448,67.22,-0.608,0.143
G3449,9.31,0.301,0.686
G3450,53.77,-0.196,0.655
G3451,18.69,-0.783,0.185
G3452,12.28,-0.01,0.988
G3453,32.65,0.364,0.467
G3454,69.53,0.264,0.522
G3455,13.45,1.146,0.0808
G3456,451.45,-0.057,0.847
G3457,25.31,0.086,0.873
G3458,43.32,0.173,0.709
G3459,143.02,-0.672,0.0575
G3460,1244.52,-0.1,0.706
G3461,5.82,0.406,0.646
G3462,69.84,0.712,0.0836
G3463,2846.07,0.487,0.0514
G3464,13.33,-0.441,0.503
G3465,24.6,-0.026,0.962
G3466,3.79,0.262,0.801
G3467,164.49,0.344,0.318
G3468,10.8,0,1
G3469,107.71,0.115,0.759
G3470,82.45,-0.052,0.896
G3471,15.59,0.156,0.803
G3472,10.91,0.091,0.897
G3473,67.1,-0.122,0.769
G3474,36.33,0.377,0.437
G3475,48.52,0.153,0.734
G3476,51.01,0,1
G3477,46.77,-0.385,0.396
G3478,8.36,-0.006,0.994
G3479,163.88,0.052,0.88
G3480,35.01,-0.542,0.269
G3481,3.74,-0.758,0.469
G3482,70.25,-1.421,0.000544
G3483,63.4,0.754,0.0733
G3484,17.63,-0.118,0.844
G3485,15.17,-1.601,0.0111
G3486,3.15,0.912,0.416
G3487,288.31,0.277,0.378
G3488,85.08,-0.838,0.0332
G3489,110.38,0.3,0.42
G3490,10.63,0.146,0.837
G3491,592.89,-0.268,0.348
G3492,1257.99,0.114,0.667
G3493,1.16,-1.702,0.318
G3494,0.5,1.414,0.569
G3495,101.86,0.12,0.751
G3496,18.7,-0.349,0.554
G3497,586.63,-2.298,1e-12
G3498,8.5,-0.108,0.888
G3499,28.07,-0.778,0.136
G3500,26.03,0.179,0.737
G3501,16.07,0.472,0.446
G3502,205.73,-0.084,0.8
G3503,11.46,1.11,0.109
G3504,38.35,-1.926,5.67e-05
G3505,460.55,-0.241,0.413
G3506,8.17,0.925,0.236
G3507,2.7,-0.988,0.408
G3508,26.2,-0.878,0.0992
G3509,7.7,1.228,0.123
G3510,11.95,-0.335,0.624
G3511,136.58,-0.047,0.895
G3512,9.88,-0.171,0.815
G3513,409.29,-0.151,0.614
G3514,144.49,0.321,0.363
G3515,53.25,0.307,0.485
G3516,626.75,-0.145,0.61
G3517,5.76,0.615,0.488
G3518,581.11,-0.351,0.22
G3519,44.34,-2.335,3.92e-07
G3520,24.3,0.518,0.342
G3521,9.08,0.927,0.217
G3522,18.83,-0.478,0.417
G3523,3.75,-0.895,0.392
G3524,10.1,1.23,0.0891
G3525,67.09,0.147,0.723
G3526,86.54,0.537,0.171
G3527,390.57,-0.034,0.91
G3528,33.34,-0.229,0.645
G3529,173.49,0.332,0.331
G3530,5.67,-1.012,0.257
G3531,262.55,-0.185,0.562
G3532,36.6,-0.24,0.62
G3533,154.57,-0.17,0.626
G3534,45.14,0.959,0.0363
G3535,13.64,-0.215,0.742
G3536,26.07,0.367,0.491
G3537,52.77,-0.479,0.277
G3538,16.77,0.935,0.126
G3539,29.05,0.437,0.398
G3540,107.28,-0.014,0.97
G3541,3.54,-0.901,0.4
G3542,9.98,0.455,0.531
G3543,0.11,-0.373,0.881
G3544,133.46,-0.535,0.136
G3545,19.72,1.127,0.0521
G3546,190.95,0.272,0.418
G3547,68.18,-0.036,0.931
G3548,86.1,0.417,0.288
G3549,555.33,-0.264,0.359
G3550,6.43,-0.363,0.67
G3551,13.66,0.244,0.709
G3552,135.32,0.192,0.591
G3553,7.46,-0.569,0.48
G3554,9.46,0.506,0.494
G3555,63.55,-0.473,0.261
G3556,526.73,0.056,0.847
G3557,31.63,-0.139,0.783
G3558,42.33,0.045,0.923
G3559,237.21,0.232,0.474
G3560,95.03,0.051,0.894
G3561,833.66,0.025,0.928
G3562,48.91,0.065,0.885
G3563,570.35,0.332,0.247
G3564,101.82,-0.7,0.0644
G3565,17.81,0.495,0.409
G3566,52.54,0.152,0.73
G3567,73.07,-0.606,0.137
G3568,69.73,0.49,0.234
G3569,28.14,0.176,0.736
G3570,176.94,-0.016,0.962
G3571,11.53,0.711,0.304
G3572,17.99,-0.53,0.375
G3573,55.34,-2.874,3.96e-11
G3574,3.68,-0.75,0.477
G3575,38.68,1.544,0.00122
G3576,55.76,0.068,0.876
G3577,309.82,0.182,0.558
G3578,57.1,-0.338,0.434
G3579,122.25,0.26,0.476
G3580,21.67,0.53,0.347
G3581,1748.03,0.569,0.0276
G3582,50.05,-0.694,0.12
G3583,25.59,0.399,0.457
G3584,7.39,-0.525,0.516
G3585,9.56,-0.431,0.559
G3586,2878.96,-0.351,0.16
G3587,12.35,-0.504,0.455
G3588,2.83,0.169,0.885
G3589,43.47,1.3,0.00496
G3590,192.2,0.782,0.0197
G3591,36.56,-0.713,0.141
G3592,95.62,-0.253,0.51
G3593,27.49,-0.492,0.349
G3594,1398.19,0.127,0.629
G3595,137.81,-0.083,0.816
G3596,119.25,-0.352,0.337
G3597,131.63,0.272,0.449
G3598,47.13,-0.477,0.292
G3599,71.72,-0.132,0.747
G3600,1770.56,-0.178,0.49
G3601,425.71,0.094,0.752
G3602,31.84,0.426,0.398
G3603,28,0.172,0.742
G3604,4.67,-0.735,0.444
G3605,28.36,-0.878,0.0916
G3606,7.64,0.373,0.641
G3607,21.47,-0.864,0.126
G3608,92.87,0.006,0.988
G3609,70.41,0.012,0.977
G3610,4.26,-0.817,0.412
G3611,121.43,0.158,0.665
G3612,27.29,0.476,0.366
G3613,37.24,-0.144,0.765
G3614,14.2,0.218,0.735
G3615,340.39,0.368,0.23
G3616,17.97,0.099,0.868
G3617,497.89,-0.258,0.376
G3618,5.78,1.149,0.194
G3619,212.76,-0.451,0.171
G3620,55.84,-0.291,0.503
G3621,201.71,0.68,0.0409
G3622,473.72,-0.127,0.665
G3623,24.45,-0.708,0.193
G3624,1.8,1.636,0.247
G3625,99.4,-0.219,0.565
G3626,96.19,-0.195,0.611
G3627,6.5,1.684,0.0469
G3628,185.26,0.399,0.237
G3629,92.52,-0.642,0.0966
G3630,40.42,0.944,0.0453
G3631,58.41,-0.67,0.119
G3632,25.69,0.097,0.856
G3633,2.87,-2.012,0.084
G3634,290.14,0.111,0.724
G3635,198.95,0.188,0.573
G3636,93.49,0.748,0.0523
G3637,147.97,-0.191,0.587
G3638,38.98,-0.502,0.292
G3639,137.94,-0.077,0.829
G3640,8.6,-0.417,0.586
G3641,26.61,0.511,0.335
G3642,5.1,0.473,0.61
G3643,145.04,0.084,0.812
G3644,439.11,0.261,0.378
G3645,126.83,-0.223,0.538
G3646,191.47,-0.761,0.0234
G3647,92.99,-1.629,2.43e-05
G3648,3.72,1.471,0.161
G3649,28.05,-0.921,0.0777
G3650,5.14,1.882,0.0421
G3651,20.34,-0.899,0.118
G3652,81.94,0.34,0.391
G3653,221.12,0.395,0.228
G3654,5.5,0.398,0.659
G3655,578.21,-0.311,0.278
G3656,67.65,-0.574,0.166
G3657,473.69,-0.337,0.251
G3658,26.47,-0.395,0.457
G3659,94.09,-0.179,0.642
G3660,14.39,0.14,0.827
G3661,19.03,0.095,0.871
G3662,81.71,-0.58,0.144
G3663,101.18,0.411,0.278
G3664,1300.18,-0.084,0.751
